source,type,target,weight
fault_code:356a192b7913,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:450ddec8dd20,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:4d134bc07221,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:4d89d294cd4c,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:536fb6934062,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:59129aacfb6c,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:601ca99d55f0,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:6216f8a75fd5,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:77de68daecd8,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:80e28a51cbc2,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:8b7471f4ae0b,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:91dfde1d6e00,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:934385f53d1b,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:972a67c48192,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:a1422e6a1686,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:a6f16ab483da,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:a72b20062ec2,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:b16a457a3302,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:b3c0730cf3f5,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:b4c96d80854d,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:b6692ea5df92,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:be461a0cd1fd,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:c1dfd96eea8c,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:c5b76da3e608,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:cb4e5208b4cd,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:cb7a1d775e80,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:d435a6cdd786,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:da4b9237bacc,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:dbc0f0048544,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:e114c448f4ab,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:ecb7937db58e,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:efa6e44dfa01,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:fa755791d050,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:fb644351560d,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:fc074d501302,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:fe5dbbcea5ce,OCCURS_AT_SITE,site:80f2f4bc6324,10
fault_code:0286dd552c9b,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:04f1241ed2b1,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:05a8ea5382b9,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:0716d9708d32,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:097ccd4f03d9,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:0ade7c2cf97f,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:0b7f5ada6bdd,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:0ec09ef9836d,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:12f0de3dc76e,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:13682ac41860,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:17503a6b2326,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:17ba0791499d,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:1b4a364f76e9,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:1d513c0bcbe3,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:22d200f8670d,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:25293f2761d6,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:2659fc519890,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:2952aeca0fe1,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:2a79f1412094,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:2d0c8af807ef,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:2fcc820fc1d9,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:35e995c107a7,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:39dfc9ffd325,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:3a2dc677d8e8,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:3c331613a26f,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:40bd00156308,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:472b07b9fcf2,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:4af7f9edc0f5,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:4afa8f9e9075,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:4cd66dfabbd9,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:4dea1daedbe9,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:50336bc687eb,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:524e05dc7723,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:58f0744907ea,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:5b7d26c4d99b,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:5c8f5ac0b7ad,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:5f1cd7c3fb68,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:6052521b7625,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:61188f243968,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:632667547e7c,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:64e095fe763f,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:667be543b022,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:69e56976fc9b,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:708a77db476d,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:717b2f3d8816,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:7320828c9153,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:74cbd2c215c2,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:76546f9a641e,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:7719a1c782a1,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:775bc5c30e27,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:78a8efcbaaa1,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:7b52009b64fd,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:7d7116e23efe,INVOLVES_COMPONENT,component:3f5ad413e2f2,9
fault_code:7d7116e23efe,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:812ed4562d32,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:827bfc458708,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:828f720439ce,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:887309d048be,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:8bd7954c40c1,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:8effee409c62,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:902ba3cda188,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:91032ad7bbcb,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:95e815d1541b,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:98fcc378d7f5,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:9a15f42d1c52,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:9a79be611e02,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:9e44d2771c05,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:9e6a55b6b456,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:9f9af029585b,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:a165fbd61c27,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:a2e33d344f27,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:a9334987ece7,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:ac2646028f5b,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:ac3478d69a3c,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:acfdd18ea7f4,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:af3e133428b9,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:b37f6ddcefad,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:b7103ca278a7,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:b74f5ee94614,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:baab34018148,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:bc33ea4e26e5,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:bcf814ab4150,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:be057d4ca44c,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:be461a0cd1fd,INVOLVES_COMPONENT,component:3f5ad413e2f2,9
fault_code:c097638f92de,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:c1aa04bf421e,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:c28aca23f1ef,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:c9ca44276565,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:cae91e45aed8,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:d0e2dbb0bac1,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:d30f79cf7fef,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:d54ad009d179,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:e1a864f0b77f,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:e2154fea5da2,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:e6c3dd630428,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:e794a80eb109,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:e993215bfdaa,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:eb4ac3033e8a,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:f1abd670358e,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:f1f836cb4ea6,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:f67462663a51,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:f6e1126cedeb,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:fa35e192121e,OCCURS_AT_SITE,site:80f2f4bc6324,9
fault_code:008451a05e1e,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:01592d51db5a,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:0159a99ed28b,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:06349be70bd2,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:08a35293e09f,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:0a57cb53ba59,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:0bad865a02d8,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:0ca9277f91e4,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:114d4eefde1d,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:12c6fc06c99a,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:1352246e3327,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:135debd48370,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:14bb99f81147,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:1574bddb75c7,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:16b06bd9b738,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:19a448c01aa2,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:1b6453892473,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:1cc641954099,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:1e7b95c56146,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:1f1362ea41d1,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:215bb47da8fa,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:2e01e1746789,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:3028f51407d8,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:31bd9b9f5f7b,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:3464dc11507c,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:3717862a00f8,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:3d5bdf107de5,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:3fcfb99ec010,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:42d2a6ad49f9,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:49e3d046636e,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:4c15dc21c916,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:4c8205da3610,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:4f0f5c96ca84,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:54ceb91256e8,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:572e20738130,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:584130e068c3,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:5a5b0f9b7d3f,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:5d23e9656032,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:5f573b82f1da,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:667be543b022,HAS_CATEGORY,category:6e28c678070e,8
fault_code:683e725c03a8,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:6b0f4d999089,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:6b6277afcb65,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:6c1e671f9af5,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:6fb84aed32fa,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:752ae7bdbb96,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:76546f9a641e,INVOLVES_COMPONENT,component:3f5ad413e2f2,8
fault_code:7d7116e23efe,BELONGS_TO_SYSTEM,system:c763cf2eda0d,8
fault_code:7f03f3f2febc,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:87d538ef1c1d,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:9109c85a45b7,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:94940e534aed,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:982fd8b71127,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:9a70776c7433,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:9d8974baddfc,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:9ffd1ae121c4,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:a17554a0d2b1,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:a3d12597f93e,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:a929eb33e338,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:acf1fffc01dc,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:aee544ceddfe,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:af06318c33c8,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:b1d5781111d8,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:b3f0c7f6bb76,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:b4182bff4b3c,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:b4ef7df17d3d,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:b70706fdb002,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:b888b29826bb,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:ba30fd97b412,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:bc15c774dca4,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:bd307a3ec329,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:be461a0cd1fd,BELONGS_TO_SYSTEM,system:c763cf2eda0d,8
fault_code:c1a38b8a671f,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:c66c65175fec,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:cad06f3c4901,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:cfa2ed2aac6d,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:d02560dd9d7d,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:d094700e379f,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:d321d6f7ccf9,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:dc685e2c3fd7,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:dd7c1a3d9d56,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:e62d7f1eb43d,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:e6c3dd630428,HAS_CATEGORY,category:6e28c678070e,8
fault_code:eadc1dd8fc27,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:eb4ac3033e8a,HAS_CATEGORY,category:6e28c678070e,8
fault_code:ec7f1f650671,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:ee44c6bcc4e0,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:f333160e6b20,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:f37062d9a655,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:f38cfe2e2fac,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:f76b2ea6b45e,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:fd93751649ac,OCCURS_AT_SITE,site:80f2f4bc6324,8
fault_code:09d66f6e5482,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:1106a1dda2d6,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:17503a6b2326,HAS_CATEGORY,category:6e28c678070e,7
fault_code:19187dc98dce,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:1c6637a8f2e1,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:25250e46745c,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:25293f2761d6,INVOLVES_COMPONENT,component:23362670e490,7
fault_code:26e7458dc56a,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:2815f6b98b7a,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:2a2b47bf21a3,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:2a7541babb57,HAS_CATEGORY,category:0d6ebe063c08,7
fault_code:310b86e0b62b,OCCURS_AT_SITE,site:e3ad73b7808e,7
fault_code:35e995c107a7,HAS_CATEGORY,category:6e28c678070e,7
fault_code:3aed9b0313f9,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:3be76cc016a8,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:3c26dffc8a2e,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:40f7c01f4189,OCCURS_AT_SITE,site:e3ad73b7808e,7
fault_code:431bf3b995a9,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:450ddec8dd20,HAS_CATEGORY,category:6e28c678070e,7
fault_code:4e86d8c0a0eb,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:511a418e7259,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:52fdb9f68c50,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:56ad4d4deaec,OCCURS_AT_SITE,site:e3ad73b7808e,7
fault_code:5a5b0f9b7d3f,HAS_CATEGORY,category:6e28c678070e,7
fault_code:5b384ce32d8c,OCCURS_AT_SITE,site:e3ad73b7808e,7
fault_code:5d00f2c62873,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:5e796e48332a,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:5f1cd7c3fb68,INVOLVES_COMPONENT,component:3f5ad413e2f2,7
fault_code:6216f8a75fd5,HAS_CATEGORY,category:0d6ebe063c08,7
fault_code:6216f8a75fd5,HAS_CATEGORY,category:6e28c678070e,7
fault_code:62866ab41533,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:632667547e7c,INVOLVES_COMPONENT,component:3f5ad413e2f2,7
fault_code:682a03f4cd9e,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:6d363479c974,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:7224f997fc14,OCCURS_AT_SITE,site:e3ad73b7808e,7
fault_code:72c1975b93f0,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:733b57ae9e45,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:761f22b2c159,HAS_CATEGORY,category:6e28c678070e,7
fault_code:79816ecb0a75,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:7a95563490d8,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:81ecfd4383a1,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:851cd04fbcac,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:8e63fd3e7779,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:8ee51caaa2c2,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:9109c85a45b7,HAS_CATEGORY,category:6e28c678070e,7
fault_code:95e815d1541b,HAS_CATEGORY,category:0d6ebe063c08,7
fault_code:9e071a3a594a,OCCURS_AT_SITE,site:e3ad73b7808e,7
fault_code:a785bdbf3c99,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:a9334987ece7,INVOLVES_COMPONENT,component:3f5ad413e2f2,7
fault_code:ae1e7198bc30,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:b4182bff4b3c,HAS_CATEGORY,category:0d6ebe063c08,7
fault_code:b6692ea5df92,INVOLVES_COMPONENT,component:3f5ad413e2f2,7
fault_code:b7eb6c689c03,INVOLVES_COMPONENT,component:3f5ad413e2f2,7
fault_code:c0ba17c23a26,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:c1dfd96eea8c,INVOLVES_COMPONENT,component:3f5ad413e2f2,7
fault_code:c439c60b7bf0,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:c8306ae139ac,HAS_CATEGORY,category:0d6ebe063c08,7
fault_code:c8306ae139ac,OCCURS_AT_SITE,site:e3ad73b7808e,7
fault_code:c837307a9a2a,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:c9f13c161440,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:ca3799b8ff86,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:cfe21c6800c8,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:d54ad009d179,HAS_CATEGORY,category:6e28c678070e,7
fault_code:d5f0d9102728,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:d6e3de36b09b,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:dbc0f0048544,OCCURS_AT_SITE,site:e3ad73b7808e,7
fault_code:dd500e1c0fa5,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:e26973e6ee8a,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:e54183e2a040,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:eb65e208b715,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:eb94d5c2be91,OCCURS_AT_SITE,site:80f2f4bc6324,7
fault_code:fe2ef495a115,OCCURS_AT_SITE,site:80f2f4bc6324,7
